X,Z,reason,context,removed,added,tier,size,sleepers
-3645,3404,junk,industrial,remnant_waste_15,xcpv_Drive_In_Wsiegel,1,60x60,1
-3645,3555,junk,industrial,lot_industrial_15,xcpv_Washington_Cemetery_Double_G,1,25x25,1
-3627,3345,junk,industrial,remnant_burnt_06,xcpv_Carpark_Mute,0,42x42,1
-3624,3590,junk,industrial,remnant_industrial_large_01,xcpv_BOS_Factory_KillerBee,5,100x100,1
-3614,-1271,junk,wilderness,remnant_gas_station_01,xcpv_Army_2_Zyncosa,5,42x42,1
-3555,3341,junk,industrial,remnant_burnt_05,xcpv_Carwash_Zeebark,1,42x42,1
-3552,3502,redundant,industrial,industrial_business_08,xcpv_Store_S_05_ZZTong,3,42x42,1
-3542,-1301,junk,wilderness,wilderness_filler_06,xcpv_Shack_TallmanBrad,0,25x25,1
-3532,1390,junk,wilderness,wilderness_filler_12,xcpv_Angel_Home_Cerberus,1,25x25,1
-3528,3274,junk,industrial,lot_industrial_18,xcpv_Store_XS_15_ZZTong,1,25x25,1
-3496,1472,redundant,downtown,downtown_filler_12,xcpv_Pinocchio_Arramus,1,25x25,1
-3496,1544,junk,downtown,rubble_downtown_filler_23,xcpv_Charity_Bar_Duplex_Zeebark,2,25x25,1
-3496,1578,redundant,downtown,downtown_filler_03,xcpv_Speedy_Flowers_Fluffy_Panda,1,25x25,1
-3496,1674,redundant,wilderness,downtown_filler_22,xcpv_House_Shanty_01_Svarii,0,25x25,1
-3496,3336,junk,industrial,lot_industrial_20,xcpv_Store_XS_13_ZZTong,1,25x25,1
-3495,-1855,junk,wilderness,wilderness_filler_08,xcpv_Site_1_AndyRed,0,25x25,1
-3495,1154,junk,downtown,remnant_downtown_filler_30,xcpv_City_Park_1_OctoberFire,0,25x25,1
-3494,1411,redundant,downtown,downtown_filler_22,xcpv_Store_XS_05_ZZTong,1,25x25,1
-3490,1349,junk,downtown,remnant_library_01,xcpv_Hotel_Zyncosa,4,60x60,1
-3486,1199,junk,downtown,remnant_downtown_filler_02,xcpv_Corner_Store_01_Gtpwr,1,25x25,1
-3486,1224,junk,downtown,remnant_downtown_filler_01,xcpv_Coffee_Shop_EvilRacc0on,0,25x25,1
-3478,1261,junk,downtown,remnant_downtown_strip_07,xcpv_Multi_Store_ANT,3,42x42,1
-3476,3561,junk,industrial,lot_industrial_14,xcpv_Store_XS_04_ZZTong,1,25x25,1
-3461,1191,junk,downtown,remnant_downtown_filler_28,xcpv_Cornish_Pasty_Shop_Medusa,1,25x25,1
-3461,1216,junk,downtown,rubble_downtown_filler_04,xcpv_Fast_Food_Vittles,1,25x25,1
-3461,3334,junk,industrial,remnant_waste_06,xcpv_Car_Dealership_Old_P1ut0nium,1,42x42,1
